chart_id	chart_title	pmid	doi	title	authors	year	url	raw_citation
ecoli_base_excision_repair	Base Excision Repair (BER)			Bacterial DNA repair	Friedberg EC, Walker GC, Siede W	2006		"Friedberg EC, Walker GC, Siede W. ""Bacterial DNA repair"". ASM Press. 2006"
ecoli_lac_operon	Lac Operon Regulation			The lactose operon	Müller-Hill B	1996		"Müller-Hill B. ""The lactose operon"". Walter de Gruyter. 1996"
ecoli_lambda_switch	Bacteriophage λ CI/Cro Lysis–Lysogeny Switch			A Genetic Switch: Phage Lambda Revisited (3rd ed.)	Ptashne M	2004		"Ptashne M. ""A Genetic Switch: Phage Lambda Revisited (3rd ed.)"". Cold Spring Harbor Laboratory Press. 2004"
ecoli_mal_regulon	Maltose Regulon and Multi-Operon Coordination			The maltose system	Boos W, Shuman H	1998		"Boos W, Shuman H. ""The maltose system"". Escherichia coli and Salmonella: Cellular and Molecular Biology. 1998"
ecoli_stringent_response	Stringent Response and ppGpp-Mediated Growth Control			The stringent response	Cashel M, Gentry D, Hernandez VJ, Vinella D	1996		"Cashel M, Gentry D, Hernandez VJ, Vinella D. ""The stringent response"". Escherichia coli and Salmonella: Cellular and Molecular Biology. 1996"
yeast_glycolysis	Glycolysis and Glucose Metabolism			Catabolite repression mutants of yeast	Gancedo JM, Gancedo C	1986		"Gancedo JM, Gancedo C. ""Catabolite repression mutants of yeast"". FEMS Microbiology Reviews. 1986"
yeast_meiosis_regulation	Meiosis Initiation and IME1 Regulation			Meiosis and sporulation in Saccharomyces cerevisiae	Kupiec M, Byers B, Esposito RE, Mitchell AP	1997		"Kupiec M, Byers B, Esposito RE, Mitchell AP. ""Meiosis and sporulation in Saccharomyces cerevisiae"". The Molecular and Cellular Biology of the Yeast Saccharomyces: Cell Cycle and Cell Biology. 1997"
ecoli_glycolysis	Glycolysis (Embden-Meyerhof-Parnas Pathway)			Glycolysis	Berg JM, Tymoczko JL, Stryer L	2002		"Berg JM, Tymoczko JL, Stryer L. ""Glycolysis"". Biochemistry. 2002"
